Player name,Appearances,Goals Overview,Wins,Losses,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals Conceded,Errors leading to goal,Own goals,Yellow cards,Red cards,Fouls,Goals,Assists,Passes,Passes per match,Accurate long balls
Adrián,139,38,57,45,464,5,57,150,53,112,550,"1,265",38,186,10,0,10,2,5,0,0,"3,481",25.04,"1,096"
Alisson,150,68,104,17,341,2,67,64,21,99,817,801,68,118,8,1,2,1,3,1,3,"4,471",29.81,617
Álvaro Fernández,12,1,3,7,49,0,4,8,4,4,60,83,1,24,1,1,0,0,0,0,0,456,38,80
Alphonse Aréola,39,9,5,21,118,0,27,23,5,5,179,275,9,51,2,0,2,0,1,0,0,913,23.41,177
Kepa Arrizabalaga,86,29,45,24,186,1,25,38,12,33,397,568,29,101,3,0,3,0,0,0,0,"2,435",28.31,398
Brandon Austin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ellery Balcombe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Baxter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gavin Bazunu,15,1,3,9,38,0,8,16,1,8,70,108,1,27,0,0,0,0,0,0,0,514,34.27,134
Eddie Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asmir Begovic,256,63,82,106,765,3,91,400,138,181,"1,029","2,352",63,357,27,0,12,0,5,1,0,"5,595",21.86,"1,970"
Lucas Bergström,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Bettinelli,7,0,1,4,20,1,8,1,1,5,32,67,0,20,0,0,1,0,0,0,0,211,30.14,66
Nathan Bishop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Butland,87,21,25,36,306,1,36,84,37,73,304,787,21,130,1,1,0,0,1,0,0,"2,593",29.8,791
Willy Caballero,36,11,19,6,78,1,16,21,5,17,134,185,11,41,2,0,1,0,0,0,0,882,24.5,187
Elia Caprile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott Carson,146,30,45,66,435,4,66,161,164,23,495,"1,387",30,225,10,1,6,1,4,0,2,"2,732",18.71,832
Harry Christy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Cox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billy Crellin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karl Darlow,52,9,11,24,170,2,40,46,13,13,186,441,9,84,2,1,4,0,1,0,0,"1,361",26.17,422
