Player name,Appearances,Goals overview,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Tackles,Tackle success,Blocked shots,Interceptions,Clearances,Headed clearances,Recoveries,Duels won,Duels lost,Succesful 50/50s,Aerial battles won,Aerial battles lost,Errors leading to goal
Brenden Aaronson,14,1,4,7,1,0.07,0,1,0,0,0,19,4,21%,2,1,2,400,28.57,5,42,26%,3,5,2,0,8,3,24,25%,5,1,5,1,68,77,106,19,6,17,0
Tyler Adams,13,0,4,6,0,13,0,0,0,0,0,2,0,2%,0,0,0,742,57.08,1,2,2%,1,23,2,1,25,0,52,54%,1,16,11,2,104,75,62,2,10,7,0
Marc Albrighton,307,19,117,110,19,0.06,2,15,2,0,1,246,81,33%,6,15,44,"6,780",22.08,70,"1,787",20%,36,415,37,1,182,23,491,72%,83,292,204,60,"1,437","1,128","1,346",336,84,233,0
Allan,52,0,20,23,0,52,0,0,0,0,0,14,5,36%,0,0,2,"2,013",38.71,0,14,29%,2,97,13,1,67,0,154,58%,4,42,59,23,378,273,299,52,16,26,1
Charlie Allen,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Dele Alli,194,51,103,53,51,0.26,9,32,10,3,0,337,134,40%,8,40,34,"6,211",32.02,48,92,14%,72,182,28,0,209,36,275,64%,87,146,124,71,864,937,"1,247",211,145,214,1
Miguel Almirón,125,17,44,46,17,0.14,0,3,14,0,0,177,60,34%,7,17,4,"2,860",22.88,9,138,21%,6,81,10,0,80,49,200,62%,64,86,53,18,575,513,494,133,28,71,1
Steven Alzate,43,1,10,18,1,0.02,0,1,0,0,0,21,6,29%,0,1,0,"1,272",29.58,1,11,36%,2,47,3,0,43,4,60,52%,10,32,28,19,160,157,162,49,20,37,0
André Gomes,88,1,34,36,1,0.01,0,1,0,0,0,54,12,22%,0,2,4,"3,203",36.4,4,57,26%,6,250,19,0,146,2,112,58%,17,38,41,23,479,366,545,108,83,67,0
Andreas Pereira,60,4,26,19,4,0.07,0,2,2,1,0,64,24,38%,0,2,8,"1,487",24.78,12,180,29%,3,66,13,0,59,6,44,59%,20,24,15,4,199,138,285,38,18,61,1
Frank Anguissa,58,0,8,35,0,58,0,0,0,0,0,55,14,25%,1,0,3,"2,459",42.4,4,15,33%,2,74,7,1,67,2,126,52%,19,90,43,25,339,393,359,138,85,70,0
Faustino Anjorin,1,0,1,0,0,1,0,0,0,0,0,1,0,1%,0,0,0,7,7,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,1,2,2,1,0,0,0
Keenan Appiah-Forson,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Billy Arce,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Joe Aribo,15,2,3,9,2,0.13,0,1,1,0,0,12,8,67%,0,1,0,306,20.4,2,6,6%,0,4,1,0,7,0,28,68%,4,5,10,9,58,74,78,13,23,31,0
Stuart Armstrong,131,15,42,60,15,0.11,1,10,4,0,0,183,55,30%,2,7,10,"3,431",26.19,9,137,23%,9,92,12,0,97,13,160,66%,59,58,70,32,495,464,575,151,48,85,0
Harry Arter,94,3,28,45,3,0.03,0,2,1,0,0,124,24,19%,5,2,5,"4,282",45.55,4,50,28%,16,326,32,1,91,2,221,73%,39,103,65,16,508,390,368,54,25,29,3
Arthur,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Miguel Azeez,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Tiemoué Bakayoko,29,2,18,6,2,0.07,1,0,1,0,0,40,9,23%,1,3,2,"1,108",38.21,1,5,20%,0,44,3,1,50,2,64,64%,17,37,36,22,169,164,155,36,40,36,2
Lewis Baker,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
James Balagizi,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Kofi Balmer,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Scott Banks,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
