,title,rating,body
0,The Future of Nintendo Handhelds?,4.0 out of 5 stars,"Update (Feb. 12, 2020):I originally gave this product 5 stars because the excitement of a brand-new handheld Nintendo console had not yet worn off. Now that I've been using it for a few months, there are a few things I take issue with.The first issue I've noticed is that the eShop is PAINFULLY slow compared to other devices. I understand that the Switch is behind other consoles in general, but I think there's an issue when it can run Minecraft (a CPU-intensive game) better than it can run the eShop. I know that in my original review I said that the eShop lag wasn't too bad, but it can be at times. I really don't see the reason for this. I mean, it's not a smooth experience at all. The icons take a while to load sometimes and if I scroll too fast I have to wait for it to catch up. It's the same thing when I switch between the menus, too. And no, it's not my WiFi.Now, the other issue I have is the home screen. On the 3DS, you could customize the icons however you wanted, you could put things in folders, and you could even have really cool themes! With the Switch, you don't get any of this. You get a dark mode and a light mode. That's it.Now, if you don't care about these features that's fine, but I personally like having the option to personalize my devices. Also, it's painful having to scroll through the games you have installed on your switch because the icons are so large and you can't make them stay where you want them. It's just really clunky and annoying.Another thing is if you're looking to you're looking to use your Switch for anything other than playing games, you're out of luck. There is no internet browser and no streaming apps. There is a YouTube app, but it's kind of bare-bones and you can't look at comments on videos.So, for these reasons I had to knock off a star from my review. The only reason I didn't remove more stars is because I still believe the Switch is a great system with a lot of potential. I still believe that Nintendo should continue with this idea and I hope that they take people's criticism into consideration.Oh, and this isn't really the SL's fault, but the screen is pretty small so certain games can be hard to play on it because it can be hard to see certain parts of the UI. Just something to look out for.Also, I know some people have already been experiencing JoyCon drift with this console, but I personally haven't had a problem with it yet.Original Review (Oct. 2019)I really, REALLY love this system.I don't own the original Nintendo Switch, and I got the Lite because of the lower price point and the lovely colors. I also wanted to play a lot of the games that are on the Switch, but not the 3DS. I was going to wait for the Zacian and Zamazenta edition to come out, but I decided I liked the turquoise edition better and I couldn't wait to get my hands on it.Now that I have it, I must say that I am very pleased with its performance. It runs faster than I expected from a system that is so small. I haven't noticed any severe lag (although it does lag a little bit if I go through the eShop categories too fast).Speaking of size, the Switch Lite is perfect. It's just big enough that I can see the screen just fine, but not too big that it's uncomfortable to hold. Keep in mind that I am someone with fairly small hands, so a person with larger hands may find the buttons and joysticks to be too close/cramped for their liking.The screen resolution is one of the highlights of this system. Compared to my 3DS XL, the screen is fantastic. Seriously, I didn't realize how bad the 3DS screen is until I compared it with this system. All the games look amazing, especially Super Mario Bros. U. Mario Kart 8 also looks great.Another thing I like a lot is the form factor. I like that everything I need to see is just on one screen and that the buttons right there beside it. It's not that I don't like the clam-shell design of the DS line, it's just that this form factor feels more comfortable to me. Of course, the form factor does come with its downsides. For example, it's going to be a lot easier to scratch the screen and the buttons. But that can be remedied if you just get a screen protector and a case to put it in.Another thing I like is that it comes with a charger. It seems like a no-brainer to put something to charge the device in with the packaging of the device itself, but guess what? When I got my 3DS, I had to buy the charger separately. Just another way for Nintendo to get money out of me, I guess. Luckily they did not make the same mistake with the Switch Lite. I also like that the cable on the charger is so long. It makes it easier for me to charge it and play it at the same time because I can get comfortable without worrying about holding my Switch in an awkward position.Although there are a ton of positives about the Switch Lite, I do have one complaint. My screen came with a stuck pixel. That really annoys me, but because it's kind of a light green/white I can't really see it when I'm playing games unless I'm specifically looking for it on the screen. I can only really see it when I'm in the eShop. It does suck though that an otherwise perfect system would have a flaw that can really be annoying at times. And anyway, Nintendo has said that it's a common issue with the screens so I don't expect that they would do much about it anyway.I was pretty disappointed when I figured out that the DS line of systems is pretty much dead now, but after buying the Switch Lite I'm kind of excited for the future of Nintendo handheld systems. I hope that they come out with more colors for the Lite and I also hope they expand upon this system like they did with the DS line.Overall, I think this system is a drastic improvement upon the DS line, but beware of stuck pixels and the fact that Nintendo does not seem to care about them."
1,Excellent portable.,5.0 out of 5 stars,"This is my first handheld since the original Game Boy. I really enjoy my Switch Lite. The eShop is chock full of incredible titles and I'm very impressed at the game selection. From Doom Eternal and classic Quake to Animal Crossing and Chess, the entire spectrum of genres is covered on Nintendo's hardware. It's black magic how this thing can even run some of these 3rd party AAA games. The games play great and I'm impressed at the performance of 3rd party AAA titles. Doom Eternal doesn't run near as good as on my Xbox One S, but I'm impressed how the developers were able to still cram the entire game into this comparatively lightweight hardware. My Switch Lite is very easily pocketable (even with protective case) and I have an excellent protective case for it; the LeyuSmart Protector Case with HD Tempered Glass Screen Protector (https://www.amazon.com/gp/aw/d/B08PBNGWJP?psc=1&ref=ppx_pop_mob_b_asin_image) which I have also reviewed. I run most of my games off a 1TB microSD card and they run perfectly fine, with slightly increased load times, of course, but as a lifelong console gamer, I'm very used to that. For the value of $199, this thing packs a punch out of nowhere and you'll be hard pressed to find a better value among the plethora of portables available nowadays; at least until the arrival of Steam Deck (which is an worse than an apples to oranges comparison, hardware and game library wise - Nintendo does things their own way, they're in a league of their own and they do and excellent job at it).I'm always a fan of the fading 3.5MM headphone jack on any modern hardware, and Nintendo being the ""Apple"" of console gaming hardware, they could have easily omitted it, forcing players to use the USB-C port to jack in a set of earbuds or headphones, but thankfully, they kept it old school. I was pleasantly surprised to see that you can indeed, use the USB-C port to play through a wired headset that way, if you choose (in order for me to use my headset to it's fullest, I unfortunately have to attach the USB dongle which contains the volume controls, so this is very helpful, especially if I play online and voice chat, although the mute and cut mic buttons don't seem to register on the Switch Lite). I'm willing to bet that you could get Ethernet over USB-C with one of the cheap, $15-$20 USB-C to Ethernet adaptors on Amazon to hardline in for faster game downloads (or smoother online multiplayer, if you feel like having it hang from your Switch the whole session) rather than buy the official Nintendo endorsed one, which is overpriced and probably won't fit on that dock with the case I have on my switch, anyway. I plan on purchasing one and will update my review on the experience when I do.I love how you can remap the button and stick assignments in system settings; ensuring that I can play some games using my beloved ""Southpaw"" controller layout (not sure why it's called that, should be the opposite). I was in a doctor's office playing it and somebody remarked they couldn't play on the ""small screen"", but it's fine for me; compared to the regular Switch, I don't have Joy Con rails to worry about breaking like on my son's Switch (he's already on his fourth pair).Nintendo has this thing locked down. You can't customize your home screen (I was hoping for some Android-style customization, here), organize your games, pass messages to friends and Nintendo (again, doing things their own way) seems hesitant to allow other third party apps on it like Prime Video, VLC (I'd love to be able to watch my videos and listen to my music on it), Twitch, Discord, Facebook or Amazon. It is also lacking a basic web browser and there doesn't appear to be a mic built in anywhere; speech to text would have been a nice alternative to smudging your screen or clumsily typing with the buttons and D-pad. I'm a little surprised there aren't any rumble motors it or something for at least a little feedback. Photo sharing to smartphones is very difficult to get working and I end up having to upload my screenshots to Facebook and download them to my phone as a workaround. Unnecessary. There is no review system on the eShop, so you have to look at third party review sites like metacritic before you purchase your games. The speakers are weak, my Pixel 4a has better sound. Another drawback is the lack of a lock; anybody can come along and grab or steal your Switch and have full access to everything on it including buying games on the eShop. The charger that comes with it (while being the tempting USB-C form factor) will ONLY charge a Switch and will instantly short out if you attempt charging any other device with it - I found this out the hard way. I replaced it with a far superior 3rd party option that charges anything.Overall, great hardware with some minor flaws and I plan on getting a pink one for my daughter, which I'm sure she'll enjoy as much as I do."
2,I’m glad I have one; I hate I bought one.,4.0 out of 5 stars,"Nintendo must be raking in a lot of cash right now because they are selling hardware with a chip that nearing a decade in age. The net code for online games is clearly from the X360era, I jest not (with Mario Kart being the sole exception in my experience). Moreover, you have to spend money to use this infrastructure but the blame lies entirely on Microsoft for standardizing that. The analog stick drift is still an issue with this “budget” revision of the original.Despite all that, I decided to purchase this machine. Why? Gameplay-driven games or just games.  Nintendo clearly only has this one thing going on for them and that is they make excellent games, for the most part. If it’s something by their EPD division or Retro Studios, you’ll be in for a treat. However, everything else, especially the third-party games are massively inferior compared to the versions on the competitors’ hardware while having to pay more for those games, something which is commonly referred to as the “Nintendo tax” by the gaming community.People have been calling this a neat little machine for indie games. However, now that the Steam Deck is out and the wait times have been cut down significantly, I’d recommend that over this. But what about the difference in price you may ask. To that I say the games are cheaper on Steam and it really adds up on the Switch and before you know it, you’ll very likely have spent more money with the Switch than on the Deck. If you care about physical releases though then avoid the Deck.There are definitely some things I really like about the Switch. For one, I can now play games while lying on my bed. I can play games in the short breaks I take. I can swap out the physical games I own without much effort (I wish I could hot swap the SD card as well but as of right now, the OS doesn’t support it. Steam Deck does, however, so it likely is not a technical limitation.)As a new owner, you may have to get used to the form factor because the thing is very tiny and also quite light. This device is clearly designed for smaller hands. If your hands are big, then I’d highly recommend getting a feel for it in a brick and mortar store before purchasing one. I remember my first week with this thing cramping my hands playing Mario. But you eventually get used to it.The OS software is serviceable. They have made many additions since launch but it still remains quite minimal, a bit too minimal in my opinion.This Lite variant doesn’t have Joy-Cons so the D-pad on this console is now something that a human being can actually use.I like that I can play Zelda wherever I want. However, I hate the fact that I have contributed to encourage Nintendo to do what they’ve been doing with their Switch line-up.In short, it’s a neat little device that I wish wasn't priced this way and didn’t come with the annoyances that come with Nintendo hardware."
3,Very fun and addicting,5.0 out of 5 stars,"I love this Nintendo switch lite. I am very thankful I was able to get one. Never had one ever in my life and never had any video games at all during my childhood. This Nintendo came and it was easy to set up. No damage. Created my account. The colors and video quality is good. It took my new storage space card easily. No problems at all so far. I have purchased a few games and they are all fun!! ""secretly addicting"" so beware! Yes I know I could have bought the Nintendo switch oled but the price is cheaper and I am not familiar with on how to play games on my TV, and my TV isn't that big either."
4,"everything works wonderfully, but not packaged in the best way",4.0 out of 5 stars,"I really enjoyed this product. The controls make the game relatively easy to play, the console's design is sleek and easy to hold, and the Nintendo store gives you access to free games even if you don't get an external game. I was able to get both Dauntless and Overwatch 2 on the console for no extra charge. The only thing I'm not crazy about is the packaging. I had it will some other things I had purchased, and there was no cushion around the console. Given how the screen is glass, I was not hopeful about opening the switch box, but it pulled through. So besides the packaging, This is a fantastic product and I look forward to getting more games for my switch!"
5,Best handheld console ever,5.0 out of 5 stars,"Best handheld console by far.  I chose the lite over the original due to its portability.  Big surprise was when I saw a car instead of the usual Amazon van in front of the gate, then I saw an Amazon carrier drop off the package.  Way better than running super mario 3d world on the yuzu emulator, and could not run super mario bros u deluxe nor dkc tropical freeze on yuzu.  Loading times are much faster, so no more concerns.  While it took me 2.5 months to collect all 380 green stars and 85 stamps, I expect to duplicate this in well under two months.  Way cheaper than the Xbox series x, which I was gonna purchase to run FH 4 and 5, but able to run them both on my laptop.  The price should be 500 or less, but last time I checked, was close to 800."
6,Fast shipping and delivery!,5.0 out of 5 stars,It’s going to be a Christmas gift. It was shipped and delivered quickly! I only turned it on to set up the account and insert the game I am also giving as a gift. It’s perfect! Will update if anything changes once it’s actually being used after Christmas :)
7,"No issues, runs as it should",5.0 out of 5 stars,I was skeptical of the quality at first but this system works perfectly with no issues
8,Love it,5.0 out of 5 stars,"I was so happy and shocked how B-E-A-U-T-I-F-U-L the coral is, I thought I wouldn't like it but it's like a pastel pink. It was very easy to set up and I absolutely loved my purchase"
9,Great game console,5.0 out of 5 stars,"Brand new, in the box, Nintendo switch lite game console! The kids love it!"
