Player name,Appearances,Goals Overview,Wins,Losses,Clean sheets,Goals Conceded,Tackles,Tackle success,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork
Zach Abbott,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Tosin Adarabioyo,43,1,9,19,10,61,48,48%,0,3,53,241,121,0,183,172,99,12,105,44,1,1,0,"2,384",55.44,0,3,33%,0,142,1,0,22,2,1,1,0,0,0
Tayo Adaramola,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Joshua Addae,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Nayef Aguerd,1,0,0,1,0,1,1,100%,0,0,1,1,1,0,6,2,1,0,1,0,0,0,0,49,49,0,0,0%,0,6,0,0,0,0,0,0,0,0,0
Rayan Aït-Nouri,54,2,14,27,10,59,111,56%,0,8,40,55,27,0,250,266,252,81,29,46,1,0,3,"1,675",31.02,5,172,24%,1,50,6,0,38,5,2,1,0,1,0
Kristoffer Ajer,30,1,10,14,6,44,38,66%,0,5,31,80,35,1,136,131,87,13,57,38,0,0,3,937,31.23,4,21,14%,2,43,5,0,15,0,1,0,1,0,0
Manuel Akanji,8,0,6,2,2,8,13,69%,0,4,5,8,5,0,40,26,29,3,7,16,0,0,1,600,75,0,0,0%,0,17,1,0,8,0,0,0,0,0,0
Nathan Aké,178,15,73,72,41,241,285,62%,3,23,228,806,438,5,730,772,510,29,385,313,0,0,6,"7,781",43.71,10,65,18%,4,301,19,1,116,8,15,8,1,6,5
Ryan Alebiosu,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Ajibola Alese,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Alex Telles,30,0,16,8,5,37,62,55%,0,4,42,61,40,0,144,135,118,15,47,38,0,0,6,"1,393",46.43,3,182,23%,3,37,1,0,27,2,0,0,0,0,3
Trent Alexander-Arnold,175,11,120,23,58,142,268,63%,3,67,216,271,97,2,"1,116",474,550,110,61,112,0,2,45,"10,515",60.09,71,"1,362",25%,39,806,17,0,88,28,11,0,11,0,6
Marcos Alonso,179,26,106,39,63,164,342,66%,0,90,265,440,226,1,"1,018",979,803,113,349,255,0,1,16,"7,959",44.46,26,600,19%,10,267,35,1,162,21,26,4,3,19,13
Daniel Amartey,98,2,39,39,18,118,118,57%,3,4,90,223,129,1,514,294,276,17,130,123,0,0,1,"4,099",41.83,1,7,14%,2,163,12,1,62,2,2,2,0,0,0
Ethan Ampadu,26,0,5,20,2,42,58,64%,0,1,49,85,36,0,114,149,88,13,53,31,1,1,0,"1,025",39.42,2,19,32%,0,57,3,0,25,1,0,0,0,0,0
Joachim Andersen,78,2,20,27,23,88,79,59%,1,4,94,365,199,1,402,318,224,19,188,103,1,2,4,"5,156",66.1,3,24,13%,4,520,13,1,72,2,2,1,1,0,1
Joseph Anderson,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Paul Appiah,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Harrison Ashby,1,0,0,1,0,1,0,0%,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0%,0,1,0,0,0,0,0,0,0,0,0
Ryan Astley,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Ludwig Augustinsson,2,0,1,0,0,0,1,100%,0,0,0,1,1,0,6,6,3,0,4,1,0,0,0,16,8,0,1,1%,0,1,1,0,1,0,0,0,0,0,0
Serge Aurier,84,5,42,21,18,84,240,65%,1,11,110,211,129,0,424,563,459,81,179,152,1,1,12,"3,317",39.49,17,281,17%,3,90,5,2,105,10,5,2,2,1,0
Zach Awe,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
