Player name,Appearances,Goals,Wins,Losses,Goals.1,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Headed clearances,Recoveries,Duels won,Duels lost,Succesful 50/50s,Aerial battles won,Aerial battles lost,Errors leading to goal
Brenden Aaronson,14,1,4,7,1,0.07,0,1,0,0,0,19,4,21%,2,1,2,400,28.57,5,42,26%,3.0,5,2.0,0.0,8,3,24.0,25%,5.0,1.0,5.0,1.0,68,77,106,19.0,6.0,17.0,0.0
Zach Abbott,0,0,0,0,0,0.0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Terry Ablade,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,,,,,,,,,,,
Tammy Abraham,89,26,36,33,26,0.29,3,20,1,0,0,164,68,41%,3,30,5,922,10.36,7,32,2,0.0,56,39.0,25.0,31,12,55.0,45,,,,,,,,,,,
Adam Armstrong,52,3,8,32,3,0.06,0,1,2,0,0,71,23,32%,0,5,4,570,10.96,4,39,2,0.0,28,4.0,24.0,19,6,10.0,7,,,,,,,,,,,
Adama Traoré,172,9,49,76,9,0.05,1,7,1,0,0,149,41,28%,6,9,14,"2,551",14.83,23,547,8,0.0,142,30.0,122.0,55,34,40.0,22,,,,,,,,,,,
Tyler Adams,13,0,4,6,0,0.0,0,0,0,0,0,2,0,0%,0,0,0,742,57.08,1,2,0%,1.0,23,2.0,1.0,25,0,52.0,54%,1.0,16.0,11.0,2.0,104,75,62,2.0,10.0,7.0,0.0
Tosin Adarabioyo,43,1,9,19,10,61.0,48,48%,0,3,53,241,121,0,183,172,99,12,105,44,1,1,0.0,"2,384",55.44,0.0,3,33%,0.0,142,1.0,0.0,22.0,2.0,1,1,0,0.0,0.0,,
Tayo Adaramola,0,0,0,0,0,0.0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Joshua Addae,0,0,0,0,0,0.0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Simon Adingra,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,,,,,,,,,,,
Adrián,139,38,57,45,464,5.0,57,150,53,112,550,"1,265",38,186,10,0,10,2,5,0,0,"3,481",25.04,"1,096",,,,,,,,,,,,,,,,,
Nayef Aguerd,1,0,0,1,0,1.0,1,100%,0,0,1,1,1,0,6,2,1,0,1,0,0,0,0.0,49,49.0,0.0,0,0%,0.0,6,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Rayan Aït-Nouri,54,2,14,27,10,59.0,111,56%,0,8,40,55,27,0,250,266,252,81,29,46,1,0,3.0,"1,675",31.02,5.0,172,24%,1.0,50,6.0,0.0,38.0,5.0,2,1,0,1.0,0.0,,
Kristoffer Ajer,30,1,10,14,6,44.0,38,66%,0,5,31,80,35,1,136,131,87,13,57,38,0,0,3.0,937,31.23,4.0,21,14%,2.0,43,5.0,0.0,15.0,0.0,1,0,1,0.0,0.0,,
Manuel Akanji,8,0,6,2,2,8.0,13,69%,0,4,5,8,5,0,40,26,29,3,7,16,0,0,1.0,600,75.0,0.0,0,0%,0.0,17,1.0,0.0,8.0,0.0,0,0,0,0.0,0.0,,
Nathan Aké,178,15,73,72,41,241.0,285,62%,3,23,228,806,438,5,730,772,510,29,385,313,0,0,6.0,"7,781",43.71,10.0,65,18%,4.0,301,19.0,1.0,116.0,8.0,15,8,1,6.0,5.0,,
Victor Akinwale,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,,,,,,,,,,,
Marc Albrighton,307,19,117,110,19,0.06,2,15,2,0,1,246,81,33%,6,15,44,"6,780",22.08,70,"1,787",20%,36.0,415,37.0,1.0,182,23,491.0,72%,83.0,292.0,204.0,60.0,"1,437","1,128","1,346",336.0,84.0,233.0,0.0
Ryan Alebiosu,0,0,0,0,0,0.0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Ajibola Alese,0,0,0,0,0,0.0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Alex Telles,30,0,16,8,"
      5
  ",37.0,62,"
        55%
  ",0,4,"
      42
  ","
      61
  ","
      40
  ","
      0
  ","
      144
  ","
      135
  ","
      118
  ","
      15
  ","
      47
  ",38,"
      0
  ","
      0
  ",6.0,"
      1,393
  ",46.43,3.0,"
      182
  ","
        23%
  ",3.0,"
      37
  ",1.0,0.0,27.0,2.0,"
      0
  ","
      0
  ","
      0
  ",0.0,3.0,,
Trent Alexander-Arnold,175,11,120,23,58,142.0,268,63%,3,67,216,271,97,2,"1,116",474,550,110,61,112,0,2,45.0,"10,515",60.09,71.0,"1,362",25%,39.0,806,17.0,0.0,88.0,28.0,11,0,11,0.0,6.0,,
