,"CHALLENGES WON, %",AIR CHALLENGES LOST,AIR CHALLENGES WON,FOULS,YELLOW CARDS,"AIR CHALLENGES, %",ASSISTS,EXPECTED ASSISTS (XA),PASSES INTO FINAL THIRD,CROSSES,"SUCCESSFUL DRIBBLES, %",TACKLES,PASS INTERCEPTIONS,ERRORS LEADING TO GOAL,BLOCKED SHOTS,CLEARANCES,"TACKLES WON, %",PASSES,"PASS COMPLETION, %",PASSING SPEED,GOALS,BIG CHANCES,"CONVERSION OF BIG CHANCES, %",SHOTS ON TARGET,"SHOTS ON TARGET CONVERSION RATE, %",EXPECTED GOALS (XG),GOALS WITH HEAD,XG CONVERSION
0,3.55,6.68,58.0,54.0,0.0,58.0,1.49,1.78,1.07,0.28,54.0,0.0,0.05,7.32,0.78,100.0,3.55,6.68,0.43,0.21,0.0,52.0,45.6,88.0,1.2,0.0,0.07,0.0
1,1.69,41.16,87.0,46.0,34.0,46.0,1.69,1.38,1.23,0.0,45.0,0.15,0.35,17.51,0.61,55.0,4.91,3.53,0.15,0.0,0.0,34.0,41.16,87.0,5.48,0.46,1.08,43.0
2,1.17,33.02,86.0,56.0,78.0,56.0,0.84,1.68,1.01,0.34,67.0,0.0,0.19,13.74,0.67,78.0,3.02,2.68,0.17,0.0,0.0,78.0,33.02,86.0,2.4,0.34,1.01,33.0
3,2.56,4.76,60.0,59.0,0.0,60.0,1.32,1.94,0.44,0.0,59.0,0.18,0.29,20.1,1.23,63.0,2.56,4.76,0.35,0.18,0.0,72.0,56.24,84.0,1.36,0.18,0.53,33.0
4,0.84,5.32,80.0,86.0,0.0,80.0,0.42,2.66,0.42,0.0,86.0,0.0,0.02,3.01,0.0,100.0,0.84,5.32,0.21,0.42,0.0,75.0,38.1,90.0,1.18,0.07,0.21,33.0
5,2.26,4.84,67.0,61.0,0.0,67.0,1.4,2.15,1.29,0.22,61.0,0.22,0.06,10.77,0.32,76.0,2.26,4.84,0.22,0.32,0.0,71.0,63.62,92.0,2.26,0.0,0.0,0.0
6,2.28,5.69,69.0,70.0,0.0,69.0,2.14,5.09,1.54,0.33,70.0,0.2,0.11,5.82,0.27,85.0,2.28,5.69,0.6,0.74,0.0,68.0,50.92,88.0,1.43,0.13,0.4,33.0
7,0.98,30.82,80.0,36.0,42.0,36.0,2.04,0.49,0.63,0.14,19.0,0.14,0.39,17.34,1.05,58.0,3.65,1.97,0.0,0.07,0.0,42.0,30.82,80.0,1.85,0.07,0.42,17.0
8,2.07,49.2,81.0,56.0,75.0,56.0,2.58,3.91,2.21,0.37,60.0,0.44,0.32,19.48,0.74,54.0,3.25,5.46,0.15,0.22,0.0,75.0,49.2,81.0,1.5,0.07,0.89,8.0
9,0.0,0.0,0.06,0.0,0.06,100.0,0.0,0.0,0.06,0.0,0.0,0.0,2.45,0.0,0.0,0.0,0.0,21.05,94.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1.12,59.01,89.0,60.0,61.0,60.0,0.26,0.66,0.73,0.07,71.0,0.2,0.34,21.36,1.52,79.0,2.04,3.23,0.0,0.26,0.0,61.0,59.01,89.0,1.74,0.0,0.53,0.0
11,0.53,47.48,87.0,58.0,55.0,58.0,0.62,1.77,1.15,0.27,74.0,0.0,0.15,13.44,0.18,92.0,2.74,5.22,0.0,0.71,0.0,55.0,47.48,87.0,1.5,0.0,0.27,0.0
12,1.51,43.82,77.0,43.0,46.0,43.0,2.36,0.92,1.11,0.26,28.0,0.39,0.26,17.55,1.9,47.0,4.65,3.93,0.13,0.07,0.0,46.0,43.82,77.0,1.39,0.07,0.39,17.0
13,3.03,5.08,61.0,64.0,0.0,61.0,1.05,1.91,1.65,0.13,64.0,0.0,0.08,7.32,0.46,48.0,3.03,5.08,0.13,0.46,0.0,74.0,49.38,87.0,1.53,0.0,0.0,0.0
14,1.06,5.85,71.0,73.0,0.0,71.0,0.92,2.54,0.85,0.21,73.0,0.0,0.04,5.5,0.0,40.0,1.06,5.85,0.42,0.71,0.0,60.0,40.63,85.0,1.36,0.0,0.0,0.0
15,1.67,5.01,77.0,61.0,0.0,77.0,1.3,2.04,0.93,0.37,61.0,0.0,0.05,6.12,0.0,0.0,1.67,5.01,0.37,0.56,0.0,89.0,35.63,84.0,1.41,0.0,0.19,0.0
16,1.21,44.15,84.0,46.0,60.0,46.0,0.36,0.48,0.48,0.0,57.0,0.24,0.15,18.39,1.45,59.0,2.42,1.69,0.0,0.12,0.0,60.0,44.15,84.0,3.68,0.24,1.09,22.0
17,1.19,35.38,81.0,44.0,47.0,44.0,1.12,0.56,1.19,0.07,33.0,0.14,0.27,15.17,0.77,62.0,4.48,3.29,0.0,0.07,0.0,47.0,35.38,81.0,1.71,0.21,1.12,19.0
