Kevin de Bruyne
Bukayo Saka
Antony Matheus
Rodri
Lionel Messi
Jamal Musiala
Junior Neymar
Joshua Kimmich
Joao Cancelo
Erling Haaland
Gabriel Martinelli
Gabriel Magalhaes
Jack Grealish
Juan Guilherme Nunes Jesus
Granit Xhaka
Alphonso Davies
Vinicius Junior
Gabriel Jesus
Bernardo Silva
Jose Diogo Dalot Teixeira
Frenkie De Jong
Sergio Busquets
Karim Benzema
Federico Valverde
Martin Odegaard
Leon Goretzka
Leroy Sane
Dayotchanculle Upamecano
William Saliba
Harry Kane
Mohamed Salah
Paulo Bruno Dybala
Rodrigo Bentancur
Kylian Mbappe
Achraf Hakimi
Leandro Trossard
Bruno Fernandes
Rafael Toloi
Khvicha Kvaratskhelia
Benjamin William White
Miguel Angel Almiron Rejala
Kieran Trippier
Phil Foden
Solly March
Marco Verratti
Christopher Nkunku
Joelinton Cassio Apolinario de Lira
Andre Franck Anguissa
Jordi Alba
Ruben Dias
Aurelien Tchouameni
Jules Kounde
Benjamin Pavard
Rafael Leao
Theo Hernandez
Ousmane Dembele
Willi Orban
Moises Isaac Caicedo Corozo
Lucas Paqueta
Amir Rrahmani
Virgil van Dijk
Giovanni Di Lorenzo
Gleison Bremer Silva Nascimento
Thiago Silva
Ronald Araujo
Robert Lewandowski
Martin Terrier
Nuno Alexandre Tavares Mendes
Luka Modric
Harvey Barnes
Thomas
Bruno Guimaraes
Alexis Mac Allister
Lisandro Martinez
Abdou Diallo
Eric Dier
Thiago Alcantara
Min-Jae Kim
Kalidou Koulibaly
Vincenzo Grifo
Remy Cabella
Declan Rice
Sergej Milinkovic-Savic
Reece James
Luis Fernando Diaz Marulanda
Olexandr Zinchenko
Dejan Kulusevski
Fikayo Tomori
Kepa
Adrien Rabiot
Gerard Pique
Thomas Muller
Julian Ryerson
Adam Harry Webster
James Maddison
Iyenoma Destiny Udogie
John Stones
Aleksandar Mitrovic
Wilfried Zaha
Heung min Son
Hakan Calhanoglu
Trent Alexander Arnold
Roger Ibanez
Nathan Ake
Andrew Robertson
Nico Schlotterbeck
Ilkay Gundogan
Manuel Akanji
Mario Rui Silva Duarte
Matthijs de Ligt
Alejandro Balde Martinez
Marc Andre ter Stegen
Serge Gnabry
Adam Ounas
Maxim Choupo Moting
Armand Lauriente
Danilo Pereira
Rodrygo Silva de Goes
Joe Willock
Wout Felix Lina Faes
Florian Sotoca
Roberto Pereyra
Mattia Zaccagni
Pervis Josue Estupinan Tenorio
Sadio Mané
Joe Gomez
Pierre Emile Hojbjerg
Jonny Evans
Denzel Justus Morris Dumfries
Jude Bellingham
Raphael Dias Belloli
Thiago Mendes
Nabil Fekir
Raphael Varane
Fabian Schar
Stanislav Lobotka
Eder Militao
Simon Kjar
Kevin Danso
Nicolo Barella
Chancel Mbemba
Jimmy Cabot
Cristian Gabriel Romero
Nuno Albertino Varela Tavares
David Alaba
Casemiro
Jose Gaya
Alfonso Pedraza
Daichi Kamada
Joe Rodon
Matthias Ginter
Dominik Szoboszlai
Brais Mendez
Ederson Santana de Moraes
James Tarkowski
Danilho Raimundo Doekhi
Ben Mee
Yeray Alvarez
Konstantinos Tsimikas
Facundo Medina
Darwin Núñez
Alisson Becker
Piotr Zielinski
Eberechi Eze
Victor James Osimhen
Eric Garcia
Ridle Bote Baku
Lukas Kubler
Christopher Maurice Wooh
Luke Shaw
Raul Tortajada Albiol
Youri Tielemans
Joachim Andersen
Benjamin Bourigeaud
Randal Kolo
Alassane Plea
Brandon Soppy
Ritsu Doan
Rodrigo Becao
Mats Hummels
Toni Kroos
Hirving Rodrigo Lozano Bahena
Lucas Martinez Quarta
Chris Smalling
Ruben Diogo Neves
Dani Olmo
Pascal Gross
Danilo
Kyle Walker
Ademola Lookman
Harvey Daniel James Elliott
Sven Botman
Jeremie Frimpong
Ben Davies
Jonathan Clauss
Raheem Sterling
Roberto Firmino
Jadon Sancho
Juan Cuadrado
Nick Pope
Matteo Politano
Mohamed Salisu Abdul Karim
Deiver Andres Machado Mena
Seko Fofana
Mohamed Simakan
Nikola Milenkovic
Dodi Lukebakio
Frello Filho Jorginho
Aaron Christopher Ramsdale
Jaka Bijol
Ismael Bennacer
Marcos Aoas Correa
Leonardo Spinazzola
Noussair Mazraoui
Pau Lopez
Benjamin Andre
Moussa Diaby
Julian Brandt
Pedro Gonzalez Lopez
Sandro Tonali
Gerard Deulofeu
Niklas Suele
Sergio Ramos
Florian Kainz
Caio Henrik Henrique
Aleksandr Golovin
Nicolas Hofler
Said Benrahma
Edmond Faycal Faycial Tapsoba
Thilo Kehrer
Lazar Vujadin Samardzic
Luis Fernando Sinisterra Lucumi
Ismaily Goncalves dos Santos
Kurt Zouma
Jonathan Gradit
Ozan Muhammed Kabak
Brenden Russell Aaronson
Mikel Merino
Gianluigi Donnarumma
Aleix Garcia
Manuel Locatelli
Mitchell Weiser
Reinildo Isnard Mandava
Tyrone Mings
Craig Dawson
Pedro
Felipe Anderson
Davinson Sanchez
Jose Fonte
Federico Dimarco
Gianluca Mancini
David Pereira da Costa
Matteo Darmian
Brahim Diaz
Konstantinos Mavropanos
Marcus Thuram
Przemyslaw Frankowski
Alessio Romagnoli
Nordi Mukiele
Anton Levi Stach
Antonio Ruediger
Patric Gabarron Gil
Lautaro Martinez
Ivan Perisic
Clement Lenglet
Frederik Ronnow
Samuel Florent Thomas Gigot
Niclas Fullkrug
Sergi Roberto
Ruslan Malinovskyi
Ferland Mendy
Jo?l Ivo Veltman
Kingsley Coman
Ivan Toney
Daniel Carvajal
Gedeon Kalulu Kyatengwa
Sofiane Diop
Vitor Machado Ferreira
Axel Disasi
Ruben Loftus Cheek
Branco Van Den Boomen
Jonathan Bamba
Kouassi Ryan Sessegnon
Malo Gusto
Conor Coady
Junior Walter Messias
Lewis Dunk
Lucas Hernandez
Tomas Soucek
Jonas Hofmann
Amadou Zeund Georges Ba Mvom Onana
Igor Zubeldia
Cesar Azpilicueta
Jonathan Christian David
Marcos Acuna
Marcos Paulo Mesquita Lopes
Robin Le Normand
Jean Clair Todibo
Joao Maria Lobo Alves Palhinha Goncalves
Cheick Oumar Doucoure
Robin Knoche
Maximilian Arnold
Lorenzo Pellegrini
Isaac Palazon Camacho
Samuel Dias Lino
Davide Frattesi
Emerson Aparecido Emerson Royal
Raphael Guerreiro
Juan Bernat
Willian Borges da Silva
Manuel Lazzari
Patricio Nehuen Perez
Mario Lemina
Ciro Immobile
Ashley Young
Francesco Acerbi
Diego Llorente
Callum Wilson
Addji Keaninkin Marc-Israel Guehi
Thomas Lemar
Presnel Kimpembe
Tiago Emanuel Embalo Djalo
James Justin
John McGinn
Enzo Jeremy Le Fee
Dango Aboubacar Faissal Faissal Ouattara
Alessandro Bastoni
Antoine Griezmann
Nemanja Gudelj
Ramy Bensebaini
Hamari Traore
Robert Skov
Mario Gotze
Thomas Meunier
Teun Koopmeiners
Robert Andrich
Dante
Xaver Schlager
Ansu Fati
Issa Diop
Christian Kouame
Ethan Rupert Pinnock
Gary Aleksis Medel
Amine Gouiri
Mohameth Djibril Ibrahima Sow
Nicolas Alejandro Tagliafico
Dani Parejo
Thierry Rendall Correia
Philipp Lienhart
Matteo Guendouzi Olie
Frederico Rodriguez Rodrigues Santos
Inigo Martinez
Aleksey Miranchuk
Felix Kalu Nmecha
Fabiano Parisi
Etienne Capoue
Ferran Torres Garcia
Micky van de Ven
Filip Kostic
Marcus Rashford
Aaron Cresswell
Bryan Cristante
Christian Eriksen
Eduardo Celmi Camavinga
Josko Gvardiol
Kai Havertz
Gregor Kobel
Merih Demiral
Mateus Cardoso Lemos Martins
Marius Wolf
Milan Skriniar
Eray Ervin Comert
Giacomo Bonaventura
Alex Sandro Lobo Silva
Stefan Vrij
Ezri Konsa Ngoyo
Daniel Amartey
Mike Maignan
Kiernan Dewsbury-Hall
Alejandro Moreno Lopera
Mason Tony Mount
Pasquale Mazzocchi
Iker Muniain
David Garcia Zubiria
Stefan Savic
Tanguy Ndombele
Nicholas Williams Arthuer
Sebastiaan Bornauw
Stefano Sensi
Pedro Neto
Ivan Provedel
Quentin Merlin
Evan NDicka
Eljif Elmas
Bernd Leno
Borna Sosa
David Raum
Jonathan Tah
Niko Giesselmann
Aaron Buchanan Hickey
Brice Samba
Vitaly Janelt
Pontus Jansson
Nikola Vlasic
Rico Henry
Boubacar Kamara
Youcef Atal
Romain Perraud
Antonio Jose Raillo Arenas
Arthur Nicolas Theate
Youssouf Fofana
Rasmus Schmidt Nicolaisen
Olivier Giroud
David Lopez
Serge Aurier
Donyell Malen
Nico Elvedi
Guido Rodriguez
Marin Pongracic
Memeh Caleb Okoli
Jonas Hector
Sean Longstaff
David Silva
Jhon Janer Lucumi Bonilla
Kieran Tierney
Mathias Olivera Miramontes
Marcel Halstenberg
Joakim Mahle Pedersen
Diego Rico
Idrissa Gana Gueye
David de Gea
Yannick Carrasco
Nemanja Matic
Hans Hateboer
Hugo Lloris
Alejandro Catena Marugan
Sebastian Rode
Vanderson de Oliveira Campos
Pascal Augustus Struijk
Jefferson Lerma
Massadio Haidara
Marcus Joseph Tavernier
Lloyd Casius Kelly
Santiago Ignacio Bueno Sciutto
Dan Burn
Jordan Henderson
Mark Flekken
Christoph Baumgartner
Sergi Darder Mohl
James Milner
Stefan Posch
Leonardo Balerdi
Marcelo Brozovic
Marc Cucurella Saseta
Cristiano Biraghi
Igor Julio dos Santos de Paulo
Breel Donald Embolo
Mattia Perin
Jordan Veretout
Eric Junior Dina Ebimbe
Rick Karsdorp
Henrikh Mkhitaryan
Maximilian Kilman
Valentin Rongier
Moreno Machado Rodrigo
Mohamed Camara
Jean-Ricner Bellegarde
German Alejandro Pezzella
Geronimo Rulli
Kiliann Eric Sildillia
William Silva de Carvalho
Wojciech Szczesny
Davide Calabria
Oscar de Marcos Arana
Rade Krunic
Douglas Luiz
Jonathan Ikone
Alexander Djiku
Riccardo Sottil
Armando Izzo
Aaron Martin
Mattia De Sciglio
Gerard Moreno
Alex Meret
Liam David Ian Cooper
Luca Pellegrini
Lucas Digne
Ruiz Fabian
Leon Bailey
Bryan Mbeumo
Michael Olise
Diogo Filipe Monteiro Pinto Leite
Vedat Muriqi
Marcos Llorente
Karim Rekik
Yunis Abdelhamid
Ricardo Rodriguez
Pau Torres
Conor John Gallagher
Alex Iwobi
Sasa Lukic
Janik Haberer
Nathan Michael Collins
Salis Abdul Samed
Paulo Otavio Otavio Rosa Da Silva
Kiko Femenia
Alexandre Lacazette
Geoffrey Kondogbia
Jesper Grange Lindstrom
Mateo Kovacic
Jon Pacheco Dozagarat
Jacob Matthew Ramsey
Alexander Nubel
Perr Schuurs
Neto Borges Borges dos Santos Neto
Pierre Kazeye Rommel Kalulu Kyatengwa
Tyrell Johannes Chicco Malacia
Peter Gulacsi
Steve Cook
Demarai Gray
Neco Shay Williams
Marcel Sabitzer
Andreas Hoelgebaum Pereira
Tosin Adarabioyo
Matthew Stuart Cash
Emiliano Buendia Stati
Aihen Munoz
Koen Casteels
Javier Galan Gil
Maxence Caqueret
Yannick Gerhardt
Kyle Walker Peters
Federico Julian Fazio
Manuel Neuer
Timo Hubers
Nabil Bentaleb
Maximiliano Caufriez
Antonio Candreva
Marko Arnautovic
Luis L. Alberto
Alexis Alehandru Sanchez
Marco Reus
Wilfried Stephane Singo
Daniel Vivian Moreno
Gonzalo Ariel Montiel
Koffi Djidji
Giorgio Scalvini
Iago Aspas
Giorgos Kyriakopoulos
Timothy Castagne
Borja Iglesias Quintas
Dimitri Payet
""
Luis Ezequiel Avila
Matteo Pessina
Hiroki Ito
Piero Martin Hincapie Reyna
Inigo Lekue
Martin Zubimendi Ibanez
Florian Tardieu
Timo Werner
Oliver Torres Munoz
Christopher Lenz
Marvin Friedrich
Axel Witsel
Sheraldo Becker
Mouctar Diakhaby
